y_label,index,MLP预测值,MLP预测概率
1,4,1,0.9999919977659749
1,12,1,0.9999956825457074
1,15,1,0.9999999967897415
0,21,0,3.268254454047989e-05
0,27,0,1.4750284710193745e-08
0,19,0,4.346927560663931e-08
1,11,1,0.9999999999257545
