y_label,index,GBDT预测值,GBDT预测概率
0,21,0,0.37976853304859537
0,31,0,0.36643093375419367
1,13,1,0.8144192071955609
1,12,1,0.7824650254696924
1,8,1,0.7470358956783386
1,26,1,0.6957079774726131
0,10,0,0.36643093375419367
