index,cellid,ADA预测值,ADA预测概率,GBDT预测值,GBDT预测概率,RF预测值,RF预测概率,XGB预测值,XGB预测概率,平均预测概率
42,千16-24$3023.9,1,0.9999838435163672,1,0.8133281059650178,1,0.6289511664805782,1,0.76237965,0.8011606905658082
32,板南4-4$2338.0,1,0.9999257586300261,1,0.8133281059650178,1,0.622075542104954,1,0.76237965,0.7994272632503169
48,千16-24$2639.6,1,0.9999257586300261,1,0.8103463011489571,1,0.6115666833166834,1,0.76237965,0.796054597349234
106,板21-7$2675.9,1,0.9999989089075471,1,0.8103463011489571,1,0.6060240592740594,1,0.76237965,0.7946872289079583
107,板21-7$2640.3,1,0.9999838435163672,1,0.8053908066046694,1,0.6333657518951639,1,0.7310274,0.79244195658792
53,板南3-13$2612.0,1,0.99997751920656,1,0.8133281059650178,1,0.5907593240093242,1,0.76237965,0.7916111488705428
79,板南4-4$2385.5,1,0.9999963965600988,1,0.8023130319222512,1,0.6299298201798204,1,0.7310274,0.7908166682494125
63,板南3-13$2580.7,1,0.9999257586300261,1,0.8133281059650178,1,0.5939763080057199,1,0.7310274,0.784564399234061
46,板21-7$2509.6,1,0.99997751920656,1,0.8103463011489571,1,0.5921864312158432,1,0.7310274,0.7833844189767101
29,板21-7$2346.5,1,0.99997751920656,1,0.8053908066046694,1,0.5966935907230028,1,0.7310274,0.783272335217428
34,千16-24$2948.9,1,0.9999963965600988,1,0.8103463011489571,1,0.591595154845155,1,0.7310274,0.7832413192224226
89,板南3-13$2574.8,1,0.9999992158590252,1,0.8103463011489571,1,0.5834874292374294,1,0.7310274,0.7812150926452228
22,板南3-13$2538.8,1,0.9999257586300261,1,0.8023130319222512,1,0.5906978854478857,1,0.7310274,0.7809910250839107
50,千16-24$3035.0,1,0.9999257586300261,1,0.8053908066046694,1,0.587374076903489,1,0.7310274,0.780929516618416
43,板21-7$2551.0,1,0.9999963965600988,1,0.7688052418517942,1,0.6177355144855146,1,0.7310274,0.7793911443082218
95,板南3-13$2614.3,1,0.9999989089075471,1,0.8023130319222512,1,0.5714489676989679,1,0.7310274,0.7761970832160615
67,板南3-13$2647.9,1,0.9999963965600988,1,0.7688052418517942,1,0.6019478021978023,1,0.7310274,0.7754442162362938
90,板南3-13$2620.0,1,0.9999989089075471,1,0.8023130319222512,1,0.5677476689976693,1,0.7310274,0.7752717585407368
114,千16-24$2727.3,1,0.9999257586300261,1,0.7688052418517942,1,0.5663885281385282,1,0.76237965,0.7743747937304045
120,板21-7$2504.6,1,0.9999838435163672,1,0.7653174606809857,1,0.5689433066933067,1,0.76237965,0.7741560642979823
15,板21-7$2671.1,1,0.9999257586300261,1,0.7688052418517942,1,0.5638129713423831,1,0.76237965,0.7737309045313682
102,板南4-4$2463.2,1,0.99997751920656,1,0.7688052418517942,1,0.5944779387279389,1,0.7310274,0.7735720310304433
47,千16-24$3030.0,1,0.9999963965600988,1,0.8053908066046694,1,0.5517145354645359,1,0.7310274,0.772032290741196
26,千16-24$2620.9,1,0.9999257586300261,1,0.8023130319222512,1,0.5492257252551372,1,0.7310274,0.7706229850357236
0,千16-24$2997.6,1,0.9999257586300261,1,0.7559512967763001,1,0.5905017482517484,1,0.7310274,0.7693515569983885
115,板21-7$2578.8,1,0.9999963965600988,1,0.759534538828028,1,0.5793738761238763,1,0.7310274,0.7674830589618706
