y_label,index,XGB预测值,XGB预测概率
1,31,1,0.99039745
0,60,0,0.0374888
1,8,1,0.57346106
1,27,1,0.9864028
0,69,0,0.04947153
1,4,0,0.08105054
1,33,1,0.9738385
0,50,0,0.4677838
0,70,0,0.04947153
0,47,0,0.45077315
1,6,1,0.9570951
1,29,1,0.98748523
1,24,1,0.99134564
0,67,0,0.04947153
0,43,0,0.3922033
