y_label,index,RF预测值,RF预测概率
1,32,1,0.9576623376623375
0,59,0,0.3021666666666667
0,45,0,0.49983333333333335
0,70,0,0.05749999999999999
1,7,1,0.7889999999999999
0,46,0,0.2638333333333333
1,30,1,0.9966666666666667
0,60,0,0.3478333333333333
1,20,1,0.999090909090909
1,24,1,0.9740909090909092
0,57,0,0.2836666666666667
0,53,0,0.3963333333333334
1,16,1,0.5456666666666667
1,26,1,0.9966666666666667
1,11,1,0.5323333333333333
