index,cellid,ADA预测值,ADA预测概率
106,板21-7$2675.9,1,0.9999999960012218
114,千16-24$2727.3,1,0.9999963965600988
79,板南4-4$2385.5,1,0.9999963965600988
46,板21-7$2509.6,1,0.9999963965600988
19,板南3-13$2344.6,1,0.9999963965600988
0,千16-24$2997.6,1,0.9999963965600988
115,板21-7$2578.8,1,0.9999963965600988
117,板21-7$2651.8,1,0.9999963965600988
42,千16-24$3023.9,1,0.9999963965600988
63,板南3-13$2580.7,1,0.9999951079046335
7,板21-12$2465.1,1,0.9999838435163672
53,板南3-13$2612.0,1,0.99997751920656
73,板21-7$2364.5,1,0.99997751920656
43,板21-7$2551.0,1,0.9999257586300261
47,千16-24$3030.0,1,0.9999257586300261
48,千16-24$2639.6,1,0.9999257586300261
50,千16-24$3035.0,1,0.9999257586300261
62,板21-7$2655.1,1,0.9999257586300261
34,千16-24$2948.9,1,0.9999257586300261
87,板南3-4$2586.4,1,0.9999257586300261
67,板南3-13$2647.9,1,0.9999257586300261
32,板南4-4$2338.0,1,0.9999257586300261
89,板南3-13$2574.8,1,0.9999257586300261
90,板南3-13$2620.0,1,0.9999257586300261
95,板南3-13$2614.3,1,0.9999257586300261
101,板南4-4$2350.7,1,0.9999257586300261
102,板南4-4$2463.2,1,0.9999257586300261
107,板21-7$2640.3,1,0.9999257586300261
118,千16-24$2624.9,1,0.9999257586300261
119,板21-7$2368.6,1,0.9999257586300261
33,板21-8$2471.5,1,0.9999257586300261
60,板南3-13$2390.4,1,0.9999257586300261
120,板21-7$2504.6,1,0.9999257586300261
6,千16-24$3014.1,1,0.9999257586300261
18,板南3-13$2524.3,1,0.9999257586300261
17,板南3-13$2395.7,1,0.9999257586300261
22,板南3-13$2538.8,1,0.9999257586300261
15,板21-7$2671.1,1,0.9999257586300261
26,千16-24$2620.9,1,0.9999257586300261
20,千16-24$3238.1,1,0.9999257586300261
29,板21-7$2346.5,1,0.9999257586300261
2,板南4-9$2491.6,1,0.9999257586300261
5,千16-24$2931.3,1,0.9999257586300261
3,板南3-13$2354.2,1,0.9999257586300261
113,板21-12$1539.1,1,0.7807441295799158
82,板南3-13$1557.4,1,0.7807441295799158
74,板21-12$1690.1,1,0.7807441295799158
30,板南4-4$2316.7,1,0.7807441295799158
16,板南4-5$2299.4,1,0.7807441295799158
81,板南G3-3$1988.0,1,0.7807441295799158
86,板南4-5$1955.3,1,0.7807441295799158
112,板21-12$1546.0,1,0.7807441295799158
116,板21-7$2326.6,1,0.7807441295799158
13,板南3-4$1921.1,1,0.7807441295799158
59,板南3-4$1158.1,1,0.7807441295799158
94,板南3-13$1714.0,1,0.7807441295799158
99,板南4-5$1874.3,1,0.7807441295799158
8,板南3-4$2047.9,1,0.7807441295799158
93,板21-7$2324.6,1,0.7807441295799158
76,板21-7$2098.1,1,0.7807441295799158
24,板南3-4$2059.9,1,0.7807441295799158
41,板21-12$1848.4,1,0.7807441295799158
64,板21-8$2276.2,1,0.7239769119963874
36,板南3-1K$1210.2,0,0.4426443310383915
14,板南3-4$1987.9,0,0.4426443310383915
27,板南G3-3$1897.1,0,0.4426443310383915
39,板21-12$1523.4,0,0.4426443310383915
109,板南3-13$1854.2,0,0.36336625970519904
56,板南3-4$1331.0,0,0.36336625970519904
54,板21-7$2265.5,0,0.36336625970519904
61,板21-8$1775.4,0,0.36336625970519904
104,板21-8$2262.3,0,0.14735543316194102
98,板21-7$2253.0,0,0.14735543316194102
