y_label,index,XGB预测值,XGB预测概率
1,31,1,0.8727409
1,29,1,0.8727409
0,69,0,0.07181443
1,22,1,0.85027474
1,32,1,0.7394417
0,40,0,0.32506993
1,30,1,0.8727409
0,44,0,0.16801761
0,59,0,0.35550156
0,56,0,0.23178549
1,8,1,0.5206214
0,65,1,0.81917346
0,64,0,0.4671301
1,4,0,0.16073446
1,11,1,0.78953093
