y_label,index,ADA预测值,ADA预测概率
1,45,1,0.9999962502599821
1,0,1,0.9999999995584328
1,20,1,0.9999990831309062
1,4,1,0.9964215756963052
0,38,0,0.11824635479686223
0,44,0,0.11824635479686223
0,18,0,0.11824635479686223
0,19,0,0.11824635479686223
